region_code,Year,Vaccine,Vaccinated,Target,Coverage,Not Covered,Unvaccinated,region_name
AMR,2019,MCV2,10741000.0,14830000.0,72.42751180040459,27.572488199595412,4089000.0,Americas
AMR,2019,PCV3,11458000.0,13798000.0,83.0410204377446,16.958979562255394,2340000.0,Americas
AMR,2019,Pol3,12020000.0,13965000.0,86.07232366630862,13.92767633369138,1945000.0,Americas
AMR,2019,RCV1,12192000.0,13965000.0,87.30397422126745,12.696025778732547,1773000.0,Americas
AMR,2019,Rotac,10275000.0,13516000.0,76.02101213376739,23.978987866232615,3241000.0,Americas
AMR,2019,YFV,3762000.0,6124000.0,61.43043762246897,38.56956237753103,2362000.0,Americas
AMR,2020,BCG,6667000.0,9760000.0,68.30942622950819,31.69057377049181,3093000.0,Americas
AMR,2020,DTP1,12086000.0,13707000.0,88.17392573137813,11.826074268621866,1621000.0,Americas
AMR,2020,DTP3,11056000.0,13707000.0,80.65951703509155,19.340482964908446,2651000.0,Americas
AMR,2020,Hepb3,11046000.0,13707000.0,80.58656161085577,19.413438389144233,2661000.0,Americas
AMR,2020,Hepbb,8276000.0,12561000.0,65.88647400684658,34.11352599315342,4285000.0,Americas
AMR,2020,Hib3,10943000.0,13707000.0,79.8351207412271,20.1648792587729,2764000.0,Americas
AMR,2020,IPV1,11843000.0,13707000.0,86.40110892244839,13.598891077551613,1864000.0,Americas
AMR,2020,MCV1,11694000.0,13707000.0,85.31407310133508,14.685926898664917,2013000.0,Americas
AMR,2020,MCV2,10713000.0,14807000.0,72.35091510771933,27.64908489228067,4094000.0,Americas
AMR,2020,PCV3,10401000.0,13545000.0,76.78848283499447,23.21151716500553,3144000.0,Americas
AMR,2020,Pol3,10929000.0,13707000.0,79.732983147297,20.267016852702994,2778000.0,Americas
AMR,2020,RCV1,11694000.0,13707000.0,85.31407310133508,14.685926898664917,2013000.0,Americas
AMR,2020,Rotac,9659000.0,13262000.0,72.832152013271,27.167847986729,3603000.0,Americas
AMR,2020,YFV,3480000.0,5971000.0,58.281694858482666,41.718305141517334,2491000.0,Americas
AMR,2021,BCG,7747000.0,9616000.0,80.56364392678869,19.436356073211314,1869000.0,Americas
AMR,2021,DTP1,11731000.0,13621000.0,86.12436678657954,13.875633213420457,1890000.0,Americas
AMR,2021,DTP3,10920000.0,13621000.0,80.17032523309595,19.82967476690405,2701000.0,Americas
AMR,2021,Hepb3,10842000.0,13621000.0,79.59768005285956,20.40231994714044,2779000.0,Americas
AMR,2021,Hepbb,8141500.0,12472000.0,65.27822322001283,34.72177677998717,4330500.0,Americas
AMR,2021,Hib3,10795000.0,13621000.0,79.25262462374275,20.747375376257253,2826000.0,Americas
AMR,2021,IPV1,11547000.0,13621000.0,84.77351148961164,15.226488510388364,2074000.0,Americas
AMR,2021,MCV1,11470000.0,13621000.0,84.20820791425005,15.791792085749947,2151000.0,Americas
AMR,2021,MCV2,11056000.0,14660000.0,75.41609822646657,24.583901773533427,3604000.0,Americas
AMR,2021,PCV3,10056000.0,13464000.0,74.68805704099822,25.311942959001783,3408000.0,Americas
AMR,2021,Pol3,10745000.0,13621000.0,78.88554438000148,21.114455619998523,2876000.0,Americas
AMR,2021,RCV1,11470000.0,13621000.0,84.20820791425005,15.791792085749947,2151000.0,Americas
AMR,2021,Rotac,9457000.0,13179000.0,71.75810000758783,28.241899992412172,3722000.0,Americas
AMR,2021,YFV,3468000.0,5922000.0,58.5612968591692,41.4387031408308,2454000.0,Americas
EMR,2015,BCG,17892000.0,20745000.0,86.2472885032538,13.752711496746201,2853000.0,E. Mediterranean
EMR,2015,DTP1,17491000.0,20238000.0,86.42652436011463,13.573475639885373,2747000.0,E. Mediterranean
EMR,2015,DTP3,16258000.0,20238000.0,80.3340251012946,19.6659748987054,3980000.0,E. Mediterranean
EMR,2015,Hepb3,16197000.0,20238000.0,80.03261191817373,19.96738808182627,4041000.0,E. Mediterranean
EMR,2015,Hepbb,4978000.0,7679000.0,64.82614923818205,35.173850761817945,2701000.0,E. Mediterranean
EMR,2015,Hib3,16203000.0,20238000.0,80.06225911651349,19.937740883486512,4035000.0,E. Mediterranean
EMR,2015,IPV1,4304000.0,11361000.0,37.88398908546783,62.11601091453217,7057000.0,E. Mediterranean
EMR,2015,MCV1,16433000.0,20238000.0,81.19873505287084,18.801264947129155,3805000.0,E. Mediterranean
EMR,2015,MCV2,13454000.0,18664000.0,72.08529789969995,27.914702100300048,5210000.0,E. Mediterranean
EMR,2015,PCV3,9195000.0,11309000.0,81.30692368909718,18.693076310902825,2114000.0,E. Mediterranean
EMR,2015,Pol3,16365000.0,20238000.0,80.86273347168692,19.137266528313077,3873000.0,E. Mediterranean
EMR,2015,RCV1,9557000.0,10636000.0,89.85520872508462,10.144791274915377,1079000.0,E. Mediterranean
EMR,2015,Rotac,3804000.0,5285000.0,71.97729422894986,28.02270577105014,1481000.0,E. Mediterranean
EMR,2016,BCG,18012000.0,20538000.0,87.70084721004966,12.299152789950341,2526000.0,E. Mediterranean
EMR,2016,DTP1,17262000.0,20046000.0,86.111942532176,13.888057467823998,2784000.0,E. Mediterranean
EMR,2016,DTP3,16430000.0,20046000.0,81.96148857627456,18.03851142372544,3616000.0,E. Mediterranean
EMR,2016,Hepb3,16427000.0,20046000.0,81.94652299710665,18.053477002893345,3619000.0,E. Mediterranean
EMR,2016,Hepbb,5038000.0,7619000.0,66.12416327602048,33.87583672397952,2581000.0,E. Mediterranean
EMR,2016,Hib3,16433000.0,20046000.0,81.97645415544248,18.023545844557518,3613000.0,E. Mediterranean
EMR,2016,IPV1,8212000.0,12611000.0,65.11775434144795,34.88224565855205,4399000.0,E. Mediterranean
EMR,2016,MCV1,16497000.0,20046000.0,82.29571984435798,17.704280155642024,3549000.0,E. Mediterranean
